Name;Bid;Ask
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
MSFT;94;56
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;94;0
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
;0;56
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
MSFT;16;55
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;16;0
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
;0;55
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
MSFT;72;92
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;72;0
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
;0;92
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
MSFT;95;26
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;95;0
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
;0;26
